Type,Market/Platform,Issuer,ISIN,Name,Issued amount,CCY,Listing Date,Coupon,Last Price
BondB,Bourse de Luxembourg,DEUTSCHE BANK AG,XS0461590985,DeutscheBank  05/07/2029  EURO STOXX 50 Index,"840,000",EUR,28/06/2024,N/A,100 i %28/06/24 15:01:10
BondB,Bourse de Luxembourg,DEUTSCHE BANK AG,XS0461629783,DeutscheBank 3% 28/06/2028,"11,070,000",EUR,28/06/2024,3 %,100 i %28/06/24 15:01:10
BondB,Euro MTF,DEUTSCHE BANK AG,XS0461588815,DeutscheBank  28/06/2027  EURO STOXX 50 Price EUR Index,"8,122,000",EUR,27/06/2024,N/A,96.68 i %28/06/24 15:06:42
BondB,Euro MTF,DEUTSCHE BANK AG,XS0460092587,"DeutscheBank 5,2% 27/06/2029","10,500,000",USD,27/06/2024,5.2 %,99.41 i %28/06/24 15:07:24
CertificateC,Euro MTF,DEUTSCHE BANK AG,XS0460092660,DeutscheBank  22/06/2029 S&P 500 Index,N/A,USD,27/06/2024,N/A,100.11 i USD28/06/24 14:56:16
BondB,Euro MTF,DEUTSCHE BANK AG,XS0461588906,"DeutscheBank 119,25 27/06/2029","10,100,000",EUR,27/06/2024,N/A,97.4 i %28/06/24 15:06:45
BondB,Euro MTF,DEUTSCHE BANK AG,XS0461645714,"DeutscheBank 12,68% 22/06/2034  Credit Linked","200,000,000",ZAR,26/06/2024,12.68 %,100 i %26/06/24 14:25:45
BondB,Euro MTF,DEUTSCHE BANK AG,XS0460092314,"DeutscheBank 4,65% 21/06/2027","3,200,000",USD,21/06/2024,4.65 %,99.27 i %28/06/24 15:11:35
CertificateC,Euro MTF,DEUTSCHE BANK AG,XS0460092405,DeutscheBank  15/06/2028 S&P 500 Index,N/A,USD,20/06/2024,N/A,100 i USD20/06/24 13:54:53
BondB,Euro MTF,DEUTSCHE BANK AG,XS2831757666,"DeutscheBank 3,65% 06/06/2029","200,000,000",CNY,18/06/2024,3.65 %,100 i %18/06/24 15:56:39
BondB,Euro MTF,DEUTSCHE BANK AG,XS0461588732,DeutscheBank  20/06/2029  EURO STOXX 50 Index,"20,000,000",EUR,17/06/2024,N/A,93.96 i %28/06/24 15:07:53
BondB,Bourse de Luxembourg,DEUTSCHE BANK AG,XS0461643347,DeutscheBank FRN 14/06/2034,"20,000,000",EUR,14/06/2024,N/A,100 i %14/06/24 16:08:20
